day_of_week,shift,peak_period,staff_count,order_volume,avg_items_per_order,avg_pick_distance_m,automation_utilization_pct,absenteeism_pct,equipment_downtime_min,new_hire_share_pct,throughput_units_per_hour
Friday,Day,0,49,526,3.24,26.4,76.6,8.1,3.8,13.4,117.9
Friday,Day,0,53,407,3.39,24.1,99.0,6.5,8.9,10.6,130.0
Friday,Day,0,50,587,2.44,17.1,85.9,3.4,18.1,2.7,126.9
Monday,Day,0,39,326,4.25,30.1,91.1,8.7,10.1,21.4,85.2
Wednesday,Evening,0,52,301,2.91,26.4,91.3,5.9,18.2,24.3,94.5
Monday,Day,0,36,402,1.59,21.6,78.0,6.0,5.0,19.1,96.4
Thursday,Day,0,36,661,3.01,19.2,73.1,7.9,2.6,18.1,109.4
Wednesday,Evening,0,24,630,2.4,24.2,76.8,7.2,11.9,24.4,88.5
Tuesday,Day,0,47,422,3.44,26.0,68.1,6.1,16.7,4.7,111.0
Monday,Evening,0,30,371,3.1,12.4,77.3,4.6,10.6,4.6,80.8
Friday,Night,0,25,299,2.47,24.3,78.0,11.2,3.0,9.1,70.4
Tuesday,Day,0,32,472,3.63,25.9,94.9,3.0,33.7,14.1,94.6
Sunday,Night,0,40,445,3.32,8.0,83.9,7.4,2.0,10.0,99.4
Friday,Day,0,28,575,2.34,23.2,99.0,4.9,8.2,4.9,121.1
Wednesday,Day,0,31,557,2.72,26.2,56.4,6.6,18.1,12.0,82.2
Friday,Evening,0,30,461,3.08,25.5,65.8,8.9,7.6,11.3,86.5
Monday,Evening,0,40,488,2.6,26.8,74.4,4.3,12.0,17.9,96.4
Sunday,Night,1,45,543,2.62,20.0,94.9,7.0,1.1,12.3,129.4
Thursday,Day,0,43,526,2.82,15.8,76.9,6.0,11.6,0.0,129.5
Saturday,Evening,0,23,442,2.21,11.2,63.3,3.3,2.9,14.7,89.4
Monday,Day,0,31,499,1.57,28.6,75.5,9.0,8.3,23.1,101.3
Thursday,Day,0,42,511,2.93,26.2,66.0,7.3,1.9,12.2,109.7
Thursday,Day,0,26,482,1.71,29.0,64.1,3.9,12.5,18.9,79.1
Sunday,Night,0,20,505,2.25,17.6,98.0,8.5,10.5,8.5,87.2
Friday,Day,0,30,351,1.83,26.8,74.5,2.7,8.2,16.0,89.8
Thursday,Night,0,43,329,1.89,13.0,79.7,5.1,14.8,6.8,88.7
Tuesday,Evening,0,43,419,3.03,16.8,77.1,3.9,11.3,10.3,107.6
Wednesday,Evening,0,22,313,2.68,22.8,75.5,7.5,1.9,10.3,80.3
Thursday,Evening,0,43,416,2.66,26.0,69.6,3.8,14.5,15.3,101.5
Thursday,Night,1,25,574,2.08,32.1,76.9,7.5,11.5,6.2,97.7
Monday,Day,0,46,579,2.44,20.6,81.4,7.0,3.5,1.7,135.8
Saturday,Day,0,39,524,3.01,16.8,92.2,4.1,7.3,15.3,115.5
Sunday,Evening,0,22,553,2.77,16.5,87.5,10.7,4.8,15.0,89.4
Tuesday,Day,0,31,494,3.25,17.9,65.8,3.0,28.1,12.8,89.8
Thursday,Day,0,49,424,3.33,35.3,87.9,1.0,2.5,18.5,119.9
Monday,Day,0,34,468,2.66,26.5,82.8,7.8,5.0,10.6,101.5
Friday,Day,0,44,569,1.78,28.7,71.8,0.0,6.9,14.0,115.0
Wednesday,Day,0,46,583,2.38,20.6,79.8,9.7,8.0,9.6,117.1
Friday,Day,0,19,487,2.75,22.0,83.7,5.5,5.2,10.2,93.7
Saturday,Night,0,53,308,2.37,26.2,78.5,0.9,7.8,14.4,95.6
Saturday,Day,1,30,527,2.22,19.0,84.8,2.4,10.7,27.9,91.8
Monday,Night,0,48,379,2.84,20.3,69.4,0.3,3.8,17.2,110.0
Sunday,Night,0,35,208,4.14,18.0,97.9,6.3,5.2,15.8,80.5
Tuesday,Day,0,39,636,2.53,19.3,58.7,1.2,24.0,17.4,106.3
Monday,Evening,0,31,492,2.8,22.3,83.8,6.7,14.8,0.0,106.0
Thursday,Evening,1,50,575,2.08,17.1,83.7,4.3,14.5,14.2,120.4
Wednesday,Evening,0,22,345,3.48,23.7,84.4,3.8,1.8,18.4,65.1
Saturday,Day,0,52,608,3.28,23.7,70.9,6.7,26.7,12.6,112.0
Saturday,Day,0,25,404,3.24,20.9,89.7,7.1,6.7,11.7,87.5
Wednesday,Day,0,51,373,3.55,17.0,76.9,8.6,15.7,5.4,108.1
Sunday,Evening,0,18,382,2.56,22.6,66.1,3.3,8.4,9.0,78.4
Wednesday,Night,1,18,616,2.63,19.0,69.1,5.1,1.1,6.2,92.4
Thursday,Evening,0,21,514,3.74,22.3,79.2,3.3,5.4,19.0,81.7
Tuesday,Evening,0,38,558,3.15,28.6,62.0,5.7,14.9,22.5,95.5
Sunday,Night,0,28,529,1.58,14.5,96.0,2.9,15.2,25.5,103.9
Tuesday,Evening,0,40,445,3.05,35.0,88.5,3.9,8.6,6.1,100.3
Monday,Day,1,49,732,2.48,21.6,98.3,3.9,2.4,7.3,152.7
Thursday,Night,0,19,366,3.29,24.5,95.2,6.1,16.1,6.8,56.0
Sunday,Day,0,38,302,3.02,17.5,74.5,5.2,3.8,4.9,111.9
Sunday,Day,0,46,411,1.84,28.9,69.3,6.7,8.3,5.0,113.2
Saturday,Evening,0,34,413,2.95,21.2,51.2,4.9,11.2,8.4,76.0
Sunday,Night,0,53,370,2.92,19.6,73.9,3.5,12.0,18.1,103.5
Sunday,Day,0,43,384,3.0,18.5,95.7,5.8,10.9,7.0,124.2
Thursday,Evening,0,19,411,3.12,20.4,69.7,2.4,3.3,19.4,69.2
Wednesday,Day,0,38,529,3.62,24.5,75.9,6.9,5.0,21.6,104.5
Saturday,Day,0,32,673,3.03,23.0,72.5,4.3,3.2,14.0,118.0
Friday,Day,0,22,336,2.81,21.8,81.7,5.8,12.7,20.6,75.6
Wednesday,Evening,0,54,328,3.43,17.7,90.9,5.9,11.4,2.5,109.2
Monday,Night,0,26,335,4.03,17.4,62.6,10.0,3.7,8.1,65.0
Saturday,Day,0,21,583,3.3,19.2,64.5,6.3,14.2,13.3,73.7
Tuesday,Day,0,26,446,2.91,24.8,92.9,5.4,14.1,13.6,86.6
Sunday,Day,1,49,586,3.04,26.0,87.3,3.1,17.7,22.0,117.7
Tuesday,Day,0,40,533,2.94,26.8,75.4,7.6,11.1,5.0,105.7
Monday,Evening,0,49,526,2.81,22.0,95.1,4.4,11.7,8.2,113.0
Saturday,Evening,0,35,488,3.99,24.3,64.3,0.6,5.3,11.4,96.8
Tuesday,Evening,0,22,367,2.39,21.0,87.3,4.6,6.5,8.4,93.4
Tuesday,Day,0,32,491,3.44,11.5,77.3,5.8,16.5,4.7,107.0
Friday,Evening,0,25,458,2.73,20.7,84.1,2.7,4.4,8.7,84.3
Sunday,Day,0,39,452,1.99,19.7,54.1,4.8,3.4,10.3,102.7
Tuesday,Day,0,28,416,2.7,15.8,75.4,5.0,11.8,22.1,94.5
Wednesday,Night,1,54,693,2.5,18.6,87.4,5.0,0.9,4.9,146.8
Saturday,Evening,0,32,514,3.12,22.8,77.4,8.9,4.1,17.7,90.4
Sunday,Night,0,29,528,2.85,15.2,90.6,1.3,18.2,20.9,89.8
Thursday,Night,0,55,557,2.24,17.7,90.2,11.3,20.8,8.4,117.4
Tuesday,Evening,0,37,489,3.61,31.3,68.4,5.1,15.3,13.8,71.2
Monday,Night,0,24,362,3.4,12.4,86.2,6.9,8.0,16.0,79.7
Tuesday,Day,0,36,564,3.67,20.9,68.1,5.6,3.4,14.9,111.6
Monday,Day,0,27,499,2.93,15.0,78.5,0.0,1.9,12.6,102.4
Friday,Day,0,45,747,2.78,17.5,84.6,2.0,5.6,7.2,123.1
Monday,Day,0,39,484,3.19,20.8,69.6,3.6,1.9,16.6,117.8
Thursday,Day,1,45,721,2.48,16.1,87.9,8.2,26.0,9.4,124.5
Friday,Day,0,53,528,2.87,25.4,72.9,1.0,5.4,12.2,133.0
Friday,Evening,0,45,471,2.7,30.1,72.2,2.6,6.0,13.2,96.8
Tuesday,Evening,0,30,420,2.0,27.1,85.1,5.7,13.5,18.0,77.1
Saturday,Evening,0,25,518,2.87,28.1,69.6,6.6,1.6,25.5,87.3
Saturday,Day,0,38,560,2.56,13.7,69.1,6.5,6.1,6.8,124.1
Saturday,Evening,0,35,600,2.67,20.5,88.4,2.2,7.5,12.4,106.8
Monday,Day,0,29,484,3.0,24.8,79.1,0.4,2.0,1.6,104.8
Monday,Day,0,48,411,3.5,27.2,63.5,6.8,3.2,22.4,90.1
Sunday,Day,0,52,444,2.33,32.5,86.6,9.5,4.4,12.3,117.3
Wednesday,Day,0,32,344,2.61,28.4,73.9,4.2,15.7,9.9,83.2
Wednesday,Day,0,43,628,2.38,27.4,64.0,1.8,20.4,12.4,113.1
Thursday,Night,0,55,379,2.34,37.8,52.9,3.9,10.7,12.7,79.4
Friday,Evening,0,18,572,2.47,22.6,87.0,6.4,7.0,6.9,98.9
Sunday,Evening,0,31,481,2.69,20.3,69.4,4.5,18.2,20.3,84.7
Wednesday,Day,0,46,499,3.12,23.1,65.6,9.4,14.2,16.5,111.0
Sunday,Night,0,36,419,2.98,16.5,84.4,8.0,31.5,17.5,84.4
Monday,Evening,0,48,360,2.22,22.4,86.1,5.8,1.3,7.2,123.0
Thursday,Day,0,36,383,3.51,11.6,70.1,0.0,7.7,6.9,118.5
Friday,Evening,0,20,644,3.32,18.8,87.1,3.1,4.7,11.2,90.6
Monday,Evening,0,34,446,2.3,21.3,98.5,3.6,1.5,17.6,109.7
Tuesday,Day,1,33,752,3.47,27.7,93.5,3.0,7.8,15.5,108.8
Wednesday,Day,0,50,602,2.98,28.7,89.9,5.8,29.3,6.6,115.0
Sunday,Evening,0,23,416,2.71,16.2,81.1,5.8,2.7,16.7,94.3
Friday,Day,0,23,540,3.0,34.5,73.6,0.2,39.5,5.2,79.9
Sunday,Day,0,23,479,2.79,22.9,77.4,7.6,14.5,7.4,83.9
Saturday,Day,0,39,400,3.1,23.4,82.4,5.2,18.7,13.1,89.9
Thursday,Night,0,55,412,2.9,12.3,65.4,6.3,18.6,3.8,106.5
Saturday,Day,0,41,566,2.61,18.3,70.3,7.4,10.7,5.3,108.9
Monday,Day,1,49,588,1.69,28.3,65.7,2.9,5.3,22.9,122.6
Monday,Day,0,50,424,3.09,23.0,80.4,9.0,1.9,21.6,119.1
Saturday,Night,0,40,449,2.59,22.6,78.8,4.8,2.7,28.0,103.3
Saturday,Evening,0,41,691,3.23,23.4,71.5,9.7,11.8,15.2,111.4
Tuesday,Night,0,27,246,3.06,13.3,86.2,2.5,5.5,16.5,76.4
Thursday,Day,0,54,523,2.61,21.4,67.6,9.5,3.0,10.9,131.4
Friday,Day,0,47,476,3.36,30.4,71.1,2.5,9.4,9.5,110.3
Sunday,Evening,0,51,394,2.91,28.5,85.8,12.8,10.2,18.1,102.5
Friday,Day,1,55,654,2.89,21.2,89.3,2.3,13.5,21.5,131.9
Wednesday,Night,1,31,668,2.72,31.4,72.0,8.4,3.7,17.5,78.9
Wednesday,Night,0,23,494,3.73,14.4,80.3,4.1,7.0,6.1,71.8
Thursday,Evening,0,50,473,2.41,16.2,70.2,7.3,3.8,14.7,117.4
Friday,Night,1,35,739,2.62,33.2,78.0,5.1,2.3,6.6,101.2
Sunday,Evening,0,54,576,2.12,25.5,79.4,1.9,16.5,9.7,115.7
Thursday,Day,0,44,553,3.2,20.3,83.6,0.0,15.7,23.5,111.6
Tuesday,Evening,0,27,393,2.48,21.7,81.2,12.7,1.3,3.6,88.9
Tuesday,Day,1,31,692,2.54,17.2,82.7,5.4,8.1,27.2,115.3
Saturday,Night,1,41,692,2.52,23.7,69.2,0.0,18.3,15.8,110.4
Saturday,Day,0,32,433,2.83,23.2,81.9,6.1,13.9,8.7,96.8
Monday,Day,0,28,306,2.11,22.1,83.5,7.3,3.3,12.5,87.0
Monday,Evening,0,25,243,1.57,15.0,84.9,3.1,19.7,7.2,84.5
Friday,Day,0,42,507,3.05,23.6,70.8,3.1,18.3,8.2,103.2
Tuesday,Day,1,19,673,1.64,18.8,89.2,5.1,10.0,12.5,106.7
Saturday,Evening,0,21,378,3.27,16.1,64.8,8.8,6.2,9.7,81.3
Wednesday,Day,0,19,569,3.66,29.6,73.7,5.5,3.3,5.5,91.7
Tuesday,Evening,0,45,459,2.71,35.0,75.2,9.6,7.7,10.5,97.6
Sunday,Day,0,19,603,3.51,33.7,65.4,8.6,21.8,2.8,70.6
Tuesday,Day,1,33,680,2.79,25.9,77.1,4.5,3.4,3.1,116.1
Wednesday,Day,0,22,369,3.68,20.4,80.2,0.5,23.2,3.0,61.9
Tuesday,Evening,0,40,489,2.55,21.6,59.7,4.5,13.4,23.7,100.3
Monday,Night,0,19,474,1.5,24.4,74.1,6.8,7.7,14.8,69.7
Monday,Day,0,18,403,2.76,19.5,60.5,5.4,18.4,16.2,72.2
Monday,Night,0,33,273,3.74,29.9,98.4,7.1,7.5,12.1,78.8
Tuesday,Evening,0,44,455,3.09,9.8,80.1,7.8,6.6,15.5,119.7
Monday,Evening,0,22,340,2.52,20.2,79.3,6.8,16.0,20.2,72.8
Friday,Evening,0,36,586,2.98,26.8,80.3,4.4,8.0,14.9,109.7
Friday,Evening,0,48,441,3.33,16.9,84.0,6.8,7.5,23.5,104.0
Wednesday,Night,0,41,589,2.75,20.6,87.8,11.9,4.6,11.7,97.1
Wednesday,Evening,0,46,248,4.24,25.6,62.4,0.7,6.5,16.2,89.1
Thursday,Evening,0,29,468,2.52,31.1,91.1,6.7,25.2,16.9,64.9
Sunday,Day,0,53,611,3.35,14.2,90.5,10.7,0.4,5.5,138.1
Saturday,Day,0,23,425,3.22,13.8,77.3,1.7,3.3,12.3,87.5
Monday,Evening,0,41,420,2.42,16.3,76.8,8.2,3.9,0.0,102.2
Tuesday,Day,0,34,427,2.57,12.8,47.0,8.6,7.0,11.1,94.3
Tuesday,Day,0,19,400,3.36,13.2,65.6,0.8,6.1,10.0,86.3
Tuesday,Day,0,53,488,2.88,16.2,83.2,7.3,9.0,9.6,125.2
Friday,Day,1,44,557,2.99,29.4,92.0,4.4,0.8,9.1,131.9
Wednesday,Evening,0,26,439,1.9,20.1,85.3,5.0,8.9,15.6,86.9
Monday,Evening,0,19,484,3.16,22.2,77.2,4.2,25.0,5.8,88.2
Wednesday,Day,1,43,630,2.96,16.3,99.0,9.1,8.0,25.0,129.6
Thursday,Day,0,38,380,2.76,25.8,88.1,4.9,6.3,16.0,98.9
Monday,Day,1,19,733,3.0,33.3,76.1,3.8,7.2,6.4,102.0
Saturday,Day,0,55,579,2.57,16.7,99.0,3.9,5.6,16.5,156.0
Monday,Evening,1,45,516,2.47,32.3,69.0,4.2,13.4,19.0,99.0
Sunday,Evening,1,35,512,2.67,24.2,65.3,2.0,10.1,14.6,92.0
Monday,Evening,1,27,525,2.54,22.1,75.8,3.8,9.5,5.0,89.0
Saturday,Evening,0,28,542,4.0,24.4,70.4,5.6,18.4,27.7,71.1
Sunday,Night,0,35,456,3.3,24.3,74.4,6.4,13.5,16.5,84.0
Sunday,Evening,0,20,530,2.27,33.1,86.0,8.8,0.4,3.3,78.9
Saturday,Evening,0,31,459,3.92,25.1,77.7,5.9,5.5,13.5,86.6
Saturday,Evening,0,26,402,2.56,25.2,77.9,3.8,2.1,10.5,89.5
Friday,Day,1,22,767,2.82,19.5,80.6,2.2,3.8,12.0,111.4
Saturday,Night,0,22,412,3.29,27.0,54.9,6.1,4.6,3.6,72.7
Monday,Day,0,31,473,1.72,16.3,62.8,4.8,3.7,12.4,104.7
Thursday,Day,0,32,328,2.67,22.7,74.1,4.9,13.9,6.2,101.6
Thursday,Night,0,31,376,2.48,39.3,69.6,6.0,12.3,9.6,78.9
Saturday,Evening,0,44,586,2.91,8.0,75.7,6.8,5.5,14.7,122.7
Thursday,Day,0,37,407,3.0,23.4,92.0,6.0,12.0,8.7,95.7
Wednesday,Day,0,25,547,2.76,23.6,77.3,4.7,10.8,10.0,88.5
Friday,Day,1,54,459,2.73,20.6,66.8,2.8,8.5,17.7,113.9
Tuesday,Evening,0,45,392,3.39,20.8,70.1,3.4,6.8,5.8,105.0
Monday,Day,0,35,439,2.97,22.5,95.1,7.7,15.0,7.5,103.6
Thursday,Night,0,19,596,2.82,20.5,93.3,3.9,7.5,3.2,97.9
Wednesday,Night,1,52,494,2.88,23.3,86.0,1.2,9.3,6.2,126.2
Tuesday,Evening,1,46,689,3.81,19.1,64.4,8.7,8.8,12.9,120.6
Wednesday,Evening,0,35,550,2.89,34.1,81.1,2.4,4.8,16.5,108.5
Wednesday,Day,0,24,401,2.52,20.5,81.8,5.3,4.6,6.4,85.1
Wednesday,Day,0,22,435,1.75,25.4,78.3,6.7,6.5,16.3,82.8
Wednesday,Evening,0,29,463,2.01,18.0,72.3,5.2,13.8,12.7,88.8
Friday,Day,0,26,359,2.54,27.6,74.4,0.0,7.0,2.3,85.8
Wednesday,Day,0,25,427,2.74,26.4,71.6,6.4,1.0,13.2,85.6
Sunday,Day,0,33,596,2.49,24.5,66.5,9.2,10.0,20.4,100.9
Sunday,Day,0,19,525,2.99,15.8,91.7,7.6,5.0,0.0,99.5
Thursday,Day,0,30,460,2.49,17.5,86.8,0.0,3.6,26.0,105.4
Wednesday,Evening,1,51,641,2.3,32.1,77.2,11.6,12.8,7.7,112.9
Thursday,Night,0,50,485,3.14,17.4,81.5,1.2,12.8,0.5,120.0
Saturday,Evening,0,18,563,3.55,25.8,81.9,2.0,8.6,13.0,88.1
Friday,Night,0,43,402,2.19,16.3,99.0,7.5,6.1,17.8,102.3
